id	title	kampfhandlungen	militaerische-unterstuetzung	verhandlungen	humanitaer-klima	humanitaer-hunger	humanitaer-krankheiten	humanitaer-flucht	humanitaer_Hilfe	wirtschaft
0	Ranghoher Anführer der Houthi-Rebellen getötet	2	0	0	0	0	0	0	0	0
1	20 Tote bei Angriff auf Hochzeit	1	1	0	0	0	0	0	0	0
2	Zahlreiche Tote bei Luftangriff auf Al Qaida im Jemen	8	0	0	0	1	0	0	0	0
3	Riad hat britische Streubomben im Jemen eingesetzt	1	0	1	0	0	0	0	0	0
4	IS bekennt sich zu Selbstmordanschlag	5	1	0	0	0	0	0	0	0
5	Desaster im Stellvertreterkrieg	1	0	0	0	0	0	0	0	0
6	IS-Attentat im Jemen	4	1	0	0	0	0	0	0	0
7	Eine Lösung für den Jemen	1	0	0	0	0	0	0	0	0
8	Unicef: Millionen Kinder im Jemen vom Tod bedroht	0	0	0	0	1	1	0	0	0
9	Attacke auf saudische Ölanlagen	2	0	0	0	0	0	0	0	0
11	Acht Tote bei Überschwemmungen im Jemen	1	0	0	4	0	0	0	0	0
12	Eine halbe Million Cholera-Fälle im Jemen	0	0	1	0	0	3	0	0	0
13	Eine halbe Million Cholera-Fälle im Jemen	0	0	0	0	0	4	0	0	0
14	Flüchtlinge ertrinken vor Jemen	0	0	0	0	0	0	7	0	0
15	Schlepper stoßen Flüchtlinge ins Meer	0	0	0	0	0	0	4	0	0
16	Land am Abgrund	0	0	1	0	0	2	0	0	0
17	Die Epidemie, die das Land ins Chaos stürzt	0	0	1	0	0	2	0	0	0
18	Tote bei Luftangriff im Jemen	3	0	0	0	0	0	2	0	0
19	Ringen um Hilfe für Jemen	0	0	0	0	3	2	0	1	0
20	Jemens Regierung hält nichts von Corona-Statistiken	0	0	0	0	2	3	0	0	0
21	Riad weist Separatisten zurück	0	0	3	0	0	0	0	0	0
22	Der Krieg im Jemen eskaliert	1	0	1	0	0	1	0	0	0
23	Eskalation in Zeiten von Flut und Seuchen	0	0	1	0	0	1	0	0	0
24	Warnung vor drohender Ölpest vor Jemen	0	0	0	0	1	0	0	0	0
25	Ramstein vor Gericht	0	0	0	0	0	0	1	0	0
26	Senat stimmt für Resolution zum Jemen-Krieg	0	4	0	0	0	0	0	0	0
27	Senat stimmt für Resolution zum Jemen-Krieg	0	4	0	0	0	0	0	0	0
28	Senat stimmt für Ende der Beteiligung am Jemen-Krieg	0	2	0	0	0	0	0	0	0
29	Regierung erlaubt deutlich mehr Waffenexporte	0	2	0	0	0	0	0	2	0
31	Ein Toter bei Angriff auf saudischen Flughafen	2	0	0	0	0	0	0	0	1
32	Rüstungsgüter für eine Milliarde Euro an Jemen-Kriegsallianz	0	3	0	0	0	0	0	1	1
33	Gouverneur von Aden getötet	3	0	0	0	0	0	0	0	0
34	Hilfsgelder für den Jemen	0	0	0	0	0	0	0	2	0
35	Widerstand gegen Amerikas Hilfe für Saudi-Arabien	1	2	0	0	0	0	0	0	0
36	Vereinte Nationen verlangen Zugang zu Getreide-Silos	0	0	0	0	1	0	0	1	0
37	Westliche Waffen im Jemen	1	3	1	0	0	0	0	0	0
38	Der Jemen liegt in Trümmern	1	0	0	0	0	0	0	0	0
39	Pentagon veröffentlicht altes Video von Al Qaida	4	1	0	0	0	0	0	0	0
40	Städte im Südjemen erobert	2	0	0	0	0	0	0	0	0
41	Militär bedauert zivile Opfer bei Angriff im Jemen	3	0	0	0	0	0	0	0	0
43	Iran wirft Saudi-Arabien Raketenangriff auf Botschaft vor	1	0	0	0	0	0	0	0	0
44	Ein Buch zum Schutz vor Bomben	2	0	0	0	0	0	0	0	0
45	Fast eine halbe Million Kinder hungern im Jemen	0	0	0	0	1	0	0	0	0
46	So soll Kindern der Schulbesuch ermöglicht werden	2	0	0	0	0	0	0	0	0
47	Gabriel warnt vor Katastrophe im Jemen	0	0	1	0	1	0	0	0	0
48	Gabriel: Jemen droht Hungerkrise	0	0	0	0	0	0	0	1	0
49	Gabriel warnt vor Hungertod im Jemen	0	0	2	0	2	0	0	0	0
50	UN: Hungerkrise im Jemen	0	0	0	0	2	0	0	0	0
52	Gefangenenaustausch im Jemen	0	0	4	0	0	0	0	1	0
53	UN sieht Chance auf Frieden	0	0	2	0	0	2	0	0	0
54	Weniger Hilfe für Jemen	0	0	0	0	1	0	0	2	0
55	Der Preis der Kompromisslosigkeit	1	0	1	0	0	2	0	0	1
56	Saudisches Militärbündnis kündigt zweiwöchige Waffenruhe an	0	0	1	0	0	2	0	0	0
57	Rüstungsexporte für 1,2 Milliarden Euro	1	2	0	0	0	0	0	2	0
58	Waffenruhe wegen Corona-Krise im Jemen?	0	1	2	0	0	2	0	0	0
59	Ein möglicher Albtraum	0	0	0	0	0	4	0	0	0
60	Zahlreiche Zivilisten im Jemen bei saudischen Angriffen getötet	4	0	0	0	0	0	0	0	0
61	Mehr Ankünfte von Migranten im Jemen	0	0	1	0	0	0	2	0	0
62	Al-Qaida-Chef im Jemen getötet	5	0	0	0	0	0	0	0	0
63	Al-Qaida-Führer im Jemen getötet	5	0	0	0	0	0	0	0	0
64	Wachsende Konfliktbereitschaft	3	0	1	0	0	0	0	0	0
65	Wachsende Konfliktbereitschaft	3	0	1	0	0	0	0	0	0
66	Jemen, Syrien und Somalia sind am korruptesten	0	0	0	0	0	0	0	0	2
69	Jemens Präsident Hadi zurückgetreten	0	0	1	0	0	0	0	0	0
70	Jemens Präsident Hadi überträgt Macht an neuen Präsidialrat	0	0	3	0	0	0	0	0	0
72	Waffenruhe im Jemen	0	0	3	0	1	0	0	0	0
73	Waffenruhe im Jemen	0	0	1	0	0	0	0	0	0
74	Saudi-Arabien verkündet Waffenruhe im Jemen während des Ramadan	0	0	3	0	0	0	0	0	0
75	Krieg im Jemen wird von der Welt ignoriert	1	0	0	0	0	0	0	0	0
76	Saudi-arabische Kampfflugzeuge bombardieren Sanaa	1	1	0	0	2	0	0	0	0
77	Hoffnung gibt es nur in Marib	1	0	0	0	0	0	0	1	0
78	UN: Jemen droht größte Hungersnot seit Jahrzehnten	0	0	0	0	2	0	0	1	0
79	Jemenitische Tragödie	0	0	0	0	2	0	0	0	0
80	UN warnen vor Millionen Hungertoten im Jemen	0	0	0	0	0	0	0	1	0
81	Tote Anschlag im Jemen	3	0	0	0	0	0	0	0	0
82	1200 Häftlinge aus Gefängnis befreit	1	0	1	0	0	0	0	0	0
83	Tote im Jemen	4	0	1	0	0	0	0	0	0
84	Al-Qaida-Führer im Jemen getötet	3	0	0	0	0	0	0	0	0
85	Trotz Friedensgesprächen Luftangriffe auf Houthi-Kämpfer	3	0	2	0	0	0	0	0	0
86	Dutzende Opfer bei Anschlagsserie in Sanaa	4	0	0	0	0	0	0	0	0
87	Luftschläge im Jemen	2	0	2	0	0	0	0	0	0
90	Mehr als 40 Tote bei Angriff auf Sanaa	1	0	0	0	0	0	0	0	0
91	Friedensgespräche im Jemen	0	0	1	0	0	0	0	0	0
92	Kerry: Irans Unterstützung der Houthi ist uns bewusst	1	0	0	0	0	0	0	0	0
93	Hoheit nur über den Luftraum	1	3	0	0	0	0	0	0	0
95	Amerika liefert mehr Waffen an Saudis	2	1	0	0	0	0	0	0	0
96	Wildern in Al Qaidas Revier	5	0	0	0	0	0	0	0	0
98	Wildern in Al Qaidas Revier	5	0	0	0	0	0	0	0	0
99	Entscheidung über Feuerpause aufgeschoben	0	0	2	0	0	0	0	0	0
100	Russland fordert Feuerpause im Jemen	1	0	1	0	0	0	0	0	0
101	Sicherheitsrat beruft Krisensitzung zu Jemen ein	2	1	0	0	1	0	0	0	0
102	Huthi-Rebellen übergeben wichtigen Hafen	1	0	0	0	1	0	0	0	0
103	UN-Team im Jemen	0	0	2	0	0	0	0	0	0
104	Beobachtermission für Jemen	0	0	1	0	0	0	0	0	0
105	"""Der Jemen ist für Kinder die Hölle auf Erden"""	1	0	0	0	0	1	0	0	1
106	Kämpfe im Jemen ausgesetzt	1	0	3	0	0	0	0	0	0
107	Unfähig zum K.-o.-Schlag im Jemen	1	0	0	0	0	0	0	0	0
108	Rüstungsexporte steuern auf neuen Rekord zu	0	2	0	0	0	0	0	2	0
109	Verzögerte Siegesfeier	0	0	1	0	1	0	0	0	0
110	Houthi im Siegestaumel	1	0	0	0	0	0	0	0	0
111	Houthi im Siegestaumel	1	0	0	0	0	0	0	0	0
112	Houthi-Rebellen: Hunderte saudische Soldaten gefangen	0	1	0	0	0	0	0	0	0
113	Pelosi: Trumps Jemen-Veto ist zynisch	0	3	0	0	0	0	0	0	0
114	Trump legt Veto gegen Resolution zu Militärhilfe ein	1	2	0	0	0	0	0	0	0
116	Saudi-Arabien fliegt Angriffe auf Huthi-Stellungen im Jemen	1	1	0	0	0	0	0	0	0
117	Anti-Houthi-Koalition greift Hudaida an	2	1	0	0	0	0	0	0	0
118	Mit dem Rücken zur Wand	1	0	1	0	0	0	0	0	0
119	Houthis treffen iranischen Außenminister	0	0	1	0	0	0	0	0	0
120	Jemen, das Armenhaus am Golf	1	0	0	0	1	0	0	0	0
