	link	kws
0	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD12022040850001516950767	huthi, führung, posten, hadi, rücktritt, stc, salih, führungsgremium, präsident, lagers
1	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A60079732	setzen, koalition, bewohner, intervention, militärbündnis, abgedreht, zugelaufen, verbotskonvention, landebahn, kernsiedlungsgebiet
2	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A70979960	cholera, ausbruch, verdsfälle, erkrankten, durchfallerkrankung, infektion, erkranken, linie, land, unicef
3	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20181031_5867375	gegenwart, houthi, krieg, widersetzen, ölfelde, präzisionswaffe, dulden, katastrophe, dissident, verlaufen
4	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150611_3642143	houthis, salih, saif, armee, scheitern, dahlak, sharurah, mann, legitimation, grenzstadt
5	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20200326_6697659	bahai, pandemie, freilassung, aufruf, corona, waffenruhe, schützen, fallengelassen, glaubensgemchaft, grundversorgung
6	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150325_3504577	hadi, houthi, berater, präsidentenpalast, dementieren, staatschef, miliz, kontrolle, verteidigungsminister, rebellen
7	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20220330_7920229	waffenruhe, ramadan, rebellen, schaffen, huthi, ankündigen, waffenstillstand, feindgebiet, rebellenführer, rennstrecke
8	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A112207355	motoren, motor, hanau, firma, weinhold, herr, wu, modellbau, drohnen, tdqq
9	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A73705654	inland, euro, wirtschaftsministeriums, nouripour, million, ausrüstung, koalitionsverhandlung, omid, ver, umfang
10	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1202004275989123	separatist, beidh, stc, coronavirus, houthi, vorstoß, front, führung, süden, abkommen
11	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1201803225381406	trump, amerika, kronprinz, senat, kushner, riad, muhammad, debatte, thronfolger, prinz
12	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20211223_7697226	gedanke, weltgemchaft, wfp, kriegspartei, geld, weihnszeit, nachzufrag, fluchtbewegunge, tasche, allererst
13	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A113889464	huthi, marib, sieg, handel, schiff, rottensteiner, kriegsjahr, salisbury, albtraum, fr
14	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD3201503284537662	liga, operation, eingreiftruppe, militärallianz, erdogan, verteidigungsministeriums, sprecher, houthis, sagen, washington
15	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A114041346	aramco, huthi, ölanlagen, friedenstreffen, spreche, miliz, dschāzān, riad, drohnen, zusage
16	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A75306708	schulbus, hochzeiten, kind, trauerfeiern, angriff, sommerschule, tote, zentralregierung, unicef, saada
17	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20170129_4787182	militär, terrorismus, extremistengruppe, töten, aqap, militäratz, terrormiliz, alqaida, luftangriff, antrittsrede
18	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150527_3614544	flottenstützpunken, vorbehalen, vonseien, hauptflottenstützpunkt, erdbod, houthis, friedensgespräche, töten, laden, exilregierung
19	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FR1202103026202519	geberkonferenz, houthi, maas, summe, milliarde, million, jahr, beginn, un, akteur
20	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201507164630102	gelangen, flucht, gelingen, regierungstruppe, nothilfestufe, regierungshand, houthi, flughafen, siegeszug, hafen
21	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A69923827	us, erlaubnis, alqaida, entziehen, aktion, militär, usa, terror, ätze, boden
22	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A72358262	abschneiden, saudiarabien, riad, königreich, verstricken, blockade, leiden, häfe, katar, salman
23	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A60214622	huthis, feuerpause, vorantrieben, verlängert, ausland, ablauf, bodenoperation, bombardieren, tais, kämpfe
24	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FR1201812245599034_3	hodeidah, un, vermittlungsgespräch, kreisen, waffenruhe, patrick, cammaeren, team, leiter, überwachung
25	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201703285099634	schule, youssef, alsharafi, nabil, sharafi, schul, kind, bild, sache, bildung
26	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1201808275499331	ad, emirat, raunen, khali, abudhabi, flughafendirektor, aufbauher, assab, weisen, separatist
27	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201703165089489_4	schlimme, landwirtschaftsorganisation, hilfsappell, manlernähren, un, kinderhilfswerk, verschlechtern, akut, unicef, welternährungsprogramm
28	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A61375673	exil, hadi, militärflugzeug, präsident, zurückzudrängen, beenden, gefloh, sicherheitskräft, staatengemchaft, anerkennen
29	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20171110_5286433	arada, gouverneur, marib, student, sagen, leute, zubaiyen, mann, alqaida, stämme
