	title	link	date	abstract	author	surtitle	source
0	Jemens Exilregierung vermeldet Rückeroberung von Aden	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A60771575	17.07.2015	"... 
Bahah am Freitag auf seiner Facebook-Seite.  ""Wir gratulieren der
Bevölkerung von Aden und der Republik Jemen  für das, was in den
vergangenen beiden Tagen erreicht wurde.""  Einwohner berichteten über
kleinere Gefechte in Außenbezirken der	Stadt. Dutzende Mitglieder der
vom Iran gestützten schiitischen  Huthi-Milizen hätten sich ergeben,
 ..."		Bürgerkrieg	SZ
1	Stellvertreterkrieg in Arabiens Armenhaus	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A59742979	25.03.2015	"Saudi-Arabien zieht Truppen an der Grenze zusammen, Iran  schickt
wahrscheinlich Waffen. Im Jemen tritt immer deutlicher	das Ringen der
beiden Staaten um die Vormacht am Golf zutage.
Von Paul Anton-Krüger
Al-Annad ist der größte Luftwaffenstützpunkt in Jemen.	Was sich dort
 ..."		Konflikt im Jemen	SZ
2	Hilfe für Hungerleidende	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A111472047	28.02.2021	"... 
Die Katastrophe in Jemen, wo Millionen vom Hungertod bedroht sind, ist
menschengemacht. Sie ist direkte Folge des Krieges, den die Huthis im
Herbst 2014 mit ihrem Sturm auf Sanaa vom Zaun gebrochen haben. Das
Bombardement, mit dem Saudi-Arabiens Kronprinz Mohammed bin Salman
letztlich den regionalen Rivalen Iran in Schach halten wollte, hat die
 ..."		Jemen	SZ
3	Das Bündnis von Präsident Hadi ist zerbrochen	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A105482964	11.08.2019	"... 
Regieren des Landes sei. Es sei an der Zeit, dass die bestimmenden
Kräfte des Landes ernsthafte Gespräche führten, um den Jemen in einen
föderalen Staat zu überführen, in dem die Interessen aller Seiten
berücksichtigt würden, teilte der stellvertretende Huthi-Außenminister
Hussein al-Azzi mit.
 ..."		Jemen	SZ
4	Jemen verliert 20 Jahre	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A103037230	24.04.2019	"Sanaa - Der Krieg in Jemen hat das Land laut UN in seiner Entwicklung
um mehr als 20 Jahre zurückgeworfen. Einer vom Entwicklungsprogramm der
Vereinten Nationen in Auftrag gegebenen Studie zufolge hätte der
Konflikt einen wirtschaftlichen Schaden von 88,8 Milliarden Dollar
(78,9 Milliarden Euro) verursacht, wenn er dieses Jahr enden würde.
 ..."		AUSLAND	SZ
5	Franziskus besucht  Vereinigte Emirate	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A102394151	05.02.2019	"... 
Emiraten (VAE) hat Papst Franziskus aufgerufen, die Kriege zu beenden,
unter anderem in Jemen und Syrien. ""Krieg schafft nichts als Elend,
Waffen nichts als Tod"", sagte er am Montag vor Hunderten Teilnehmern
eines interreligiösen Treffens in Abu Dhabi. Die ""katastrophalen
Folgen"" von Krieg zeigten sich in Jemen, in Syrien, im Irak und in
 ..."		Papst ruft auf, Kriege zu beenden,  und nennt ausdrücklich auch Jemen	SZ
6	Noch mehr Hunger droht	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A114041339	22.03.2022	"Vergessener Krieg, so wird der Konflikt in Jemen häufig genannt. Man
mag sich gar nicht ausmalen, wie weit er angesichts der russischen
Invasion in die Ukraine weiter in Vergessenheit geraten wird. Ein
Drittel der Weizen-Importe Jemens stammen aus der Ukraine. 13 Millionen
Jemenitinnen und Jemeniten sind schon jetzt vom Hungertod bedroht. Und
 ..."		JEMEN	SZ
7	Land des Misstrauens	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A102665873	09.03.2019	"... 
gestoppt. Ob der Bann gegen Riad nun wieder aufgehoben wird, will sie
aber anhand der Entwicklung im Jemen-Krieg entscheiden, wie
Außenminister Heiko Maas (SPD) angekündigt hat. Khashoggi werde durch
das Embargo auch nicht wieder lebendig, heißt es in Berlin. In der
Jemen-Frage aber könnten die Saudis sich bewegen. Man will also den
 ..."		Was der Krieg in Jemen mit dem Exportstopp zu tun hat - und mit dessen Aufhebung	SZ
8	Leben in Ruinen	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A106924687	12.12.2019	"Die Vereinten Nationen benennen die Situation in Jemen seit Jahren mit
einem erschreckenden Superlativ: die ""schlimmste humanitäre Krise der
Welt"". 24Millionen Jemeniten, knapp 80Prozent der Bevölkerung von mehr
als 28Millionen, sind auf humanitäre Hilfe oder Unterstützung durch
Hilfsorganisationen angewiesen, 14,3Millionen Menschen leben in akuter
 ..."		Wer durch Jemen reist, sieht das Elend, das alle Kriegsparteien anrichten	SZ
9	US-Senat stellt sich offen gegen Saudi-Arabien	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A101820527	15.12.2018	"... 
mit 56 zu 41 Stimmen eine Resolution, Amerikas militärische
Unterstützung für Saudi-Arabien im Krieg in Jemen einzustellen.
Einstimmig votierte die Kammer dann für eine weitere Entschließung, die
den saudischen Kronprinzen Mohammed bin Salman persönlich für die
Ermordung des Journalisten Jamal Khashoggi verantwortlich macht.
 ..."		Die Kammer votiert für Einstellung der Militärhilfe im Jemen-Krieg - und macht Kronprinz bin Salman für den Khashoggi-Mord verantwortlich	SZ
