title	link	date	abstract	author	surtitle	source
Ranghoher Anführer der Houthi-Rebellen getötet	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20180423_5556970	2018-04-23	"Die Houthi-Rebellen im Jemen haben ihren politischen Führer bei einem Angriff verloren. Die Rebellen gaben am Montag den Tod des Chefs ihres ...
         ..Die Houthi-Rebellen im Jemen haben ihren politischen Führer bei einem Angriff verloren...  ..Die schiitischen Houthi-Rebellen beherrschen seit Jahren weite Teile im Norden und Westen des Jemen...  ..Die saudiarabisch dominierte Militärkoalition kämpft seit 2015 im Jemen gegen die Houthi-Rebellen..."		Jemen	FAZ
20 Tote bei Angriff auf Hochzeit	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20180423_5556055	2018-04-23	"Bei einem Luftangriff der saudisch geführten Militärkoalition auf eine Hochzeit im Bürgerkriegsland Jemen sind dem Gesundheitsministerium zufolge ...
         ..Bei einem Luftangriff der saudisch geführten Militärkoalition auf eine Hochzeit im Bürgerkriegsland Jemen sind dem Gesundheitsministerium..  ..Die Bundesregierung unterstützt die international anerkannte Regierung des Jemen...  ..In dem konkreten Fall geht es um die Bombardierung eines Ortes im Nordwesten des Jemen im Oktober 2016..."		Jemen-Krieg	FAZ
Zahlreiche Tote bei Luftangriff auf Al Qaida im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20170129_4787182	2017-01-29	"Bei einem amerikanischen Militäreinsatz im Jemen sind nach Angaben der Vereinigten Staaten vierzehn Kämpfer der Terrormiliz Al-Qaida getötet ...
         ..Bei einem amerikanischen Militäreinsatz im Jemen sind nach Angaben der Vereinigten Staaten vierzehn Kämpfer der Terrormiliz..  ..Es war der erste großangelegte Militäreinsatz im Jemen seit der Amtsübernahme des neuen amerikanischen Präsidenten, für den..  ..Im Jemen gibt es immer wieder gezielte Angriffe auf Mitglieder der Extremistengruppe Al Qaida auf der Arabischen Halbinsel.."		Amerikanischer Soldat stirbt	FAZ
Riad hat britische Streubomben im Jemen eingesetzt	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1201612215024783	2016-12-21	"job. LONDON, 20. Dezember. Die britische Regierung hat bestätigt, dass die Luftwaffe Saudi-Arabiens im Kampf gegen die Houthi-Rebellen britische ...
         ..Regierung hat bestätigt, dass die Luftwaffe Saudi-Arabiens im Kampf gegen die Houthi-Rebellen britische ""Cluster-Bomben"" im Jemen..  ..seit Monaten, die militärische Unterstützung Saudi-Arabiens auszusetzen, das die Koalition gegen die Houthi-Rebellen im Jemen..  ..Der SNP-Abgeordnete Brendan O'Hara verlangte eine Untersuchungskommission zu den Völkerrechtsverletzungen in Jemen..."		Großbritannien bestätigt Vorwurf / Opposition fordert Aussetzung militärischer Unterstützung	FAZ
IS bekennt sich zu Selbstmordanschlag	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20161218_4580698	2016-12-18	"Die Terrormiliz ""Islamischer Staat"" (IS) hat sich zu dem schweren Selbstmordanschlag auf Soldaten in der jemenitischen Hafenstadt Aden bekannt. ...
         ..Im Jemen tobt seit rund zwei Jahren ein Bürgerkrieg zwischen Anhängern der Regierung und schiitischen Huthi-Rebellen...  ..Das Terrornetzwerk Al Qaida und der IS haben sich in der Vergangenheit mehrfach zu Anschlägen im Jemen bekannt.

dpa.."		Jemen	FAZ
Desaster im Stellvertreterkrieg	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1N201612155013704	2016-12-15	"Wenn iranische Nachrichtenagenturen Irans Generäle mit visionären Aussagen zitieren, dann steckt dahinter Kalkül. Das gilt auch für die Äußerungen ...
         ..Genau das könnte allerdings Teil der iranischen Strategie sein, denn dadurch wird der Konflikt im Jemen, dem geopolitischen..  ..Saudi-Arabien stellt auch den Krieg im Jemen als solchen dar, doch die Wirklichkeit ist weniger eindeutig...  ..In dieser Situation könnte dem Jemen eine dauerhafte (und instabile) Teilung bevorstehen..."		Der Konflikt im Jemen: Saudische Ängste und iranische Provokationen / Von Jonathan Hackenbroich	FAZ
IS-Attentat im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FR1201612125016642_5	2016-12-12	"Bei einem Anschlag auf eine Kaserne in der südjemenitischen Stadt Aden sind 48 Soldaten getötet und 29 weitere verletzt worden. Ein Selbstmordattentäter ...
         ..Im Jemen kämpfen seit September 2014 Truppen des ins Exil geflüchteten sunnitischen Präsidenten Abd Rabbo Mansur Hadi gegen.."		Wichtiges in Kürze	FAZ
Eine Lösung für den Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1201802265362095	2018-02-26	"Der saudische Krieg im Jemen hat das Land ins Elend gestürzt. Er hat Tausende von Zivilisten getötet, Millionen Menschen vertrieben und eine ...
         ..Der saudische Krieg im Jemen hat das Land ins Elend gestürzt...  ..Denn es würde ihnen ermöglichen, sich aus dem Sumpf des Jemen-Kriegs herauszuziehen...  ..der EU und anderer Länder führen, die Bewaffnung des Jemen-Kriegs zu beenden..."		Fremde Federn: Seyed Hossein Mousavian	FAZ
Unicef: Millionen Kinder im Jemen vom Tod bedroht	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1202011246134702_6	2020-11-24	"Mehrere Millionen Kinder im Jemen sind laut Unicef vom Tod durch Hunger und Krankheiten bedroht. In bestimmten Gebieten des Konfliktlandes hätten ...
         ..Mehrere Millionen Kinder im Jemen sind laut Unicef vom Tod durch Hunger und Krankheiten bedroht..."		Wichtiges in Kürze	FAZ
Attacke auf saudische Ölanlagen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1N201905155709848	2019-05-15	"cheh. BEIRUT, 14. Mai. Ein Drohnenangriff auf Ölanlagen in Saudi-Arabien hat die ohnehin großen Spannungen in der Golfregion weiter verschärft. ...
         ..Die Vermittlungsbemühungen im Jemen-Konflikt hatten zuletzt ein wenig an Fahrt aufgenommen...  ..An diesem Mittwoch soll der UN-Sicherheitsrat über die Lage im Jemen und den Fortgang der Vermittlungsinitiative des UN-Sondergesandten.."		Jemenitische Houthi reklamieren Drohnenangriff für sich	FAZ
